PID	P_1_freq	M_1_freq
V402	9	0
V402	0	0
V402	0	0
V402	0	42.1
V402	3.8	0
V402	0	48.1
V402	0	1.6
V402	4.8	0
V402	0	2.5
V402	0	0
V402	0.9	0
V402	8.9	0
V402	0	34.1
V402	6.8	0
V402	12.1	1.9
V402	0	0.7
V402	7.4	0
V402	13.8	0
V402	0	0
V402	0	0
V402	3.8	0
V402	17.6	0
V402	0	0
V402	0	0
V402	6.4	0
V402	0	0.6
V402	0	34.8
V402	0	30.8
V402	0	0
V402	0	0
V402	0.6	0
V402	5.7	0
V402	0	39.9
V402	0	0
V402	3.4	0
V402	0	44.3
V402	6.2	0
V402	27.3	31.9
V402	0	0
V402	0	0
V402	8.9	0
V402	0	0
V402	6.2	0
V402	11.1	0
V402	12.5	0
V402	0	0
V402	0	0
V402	34.3	35.8
V402	0	13.3
V402	0	4.7
V402	0	0
V402	1.6	0
V402	13.6	0
V402	8.2	0
V402	0	2.2
V402	0	0
V402	0	0
V402	20.2	0
V402	0	0.4
V402	0	0
V402	0	1.2
V402	13.5	0
V402	9.9	0
V402	9.8	0
V402	5.9	0
V402	0	7.8
V402	5	0
V402	0	0
V402	0.9	0.8
V402	0	3.8
V402	2	0
V402	1	0
V402	5.7	0
V402	11.8	0
V402	0	0
V402	7.4	0
V402	9	0
V402	0	0
V402	2.1	1.8
V402	11.9	0
V402	7.5	0
V402	6.6	0.8
V402	5.4	0
V402	36	0
V402	8.7	0
V402	19.4	0
V402	2.5	0
V402	21.6	0
V402	10.8	2.5
V402	6.3	0
V402	2.4	0.7
V402	14	0
V402	1.1	1.4
V402	10.4	0
V402	37.8	39.1
V402	0	0
V402	0	0
V402	0	1
V402	3.1	0
V402	0.9	0
V402	0	0
V402	0	0
V402	2.1	0
V402	2.4	0
V402	0	0
V402	0	0
V402	0	0
V402	0	10.3
V402	5	0
V402	0	0
V402	13.2	0
V402	17.4	0
V402	9.3	0
V402	5.1	0
V402	11.4	0
V402	10.3	0
V402	4.6	0
V402	1.8	0
V402	5.1	0
V402	3.2	0
V402	0	0
V402	8.9	0
V402	1.8	0
V402	18.1	46
V402	0	0
V402	3.2	0
V402	7.7	0
V402	8.9	0
V402	11.1	0
V402	1.7	0
V402	15.3	39.3
V402	0	2.5
V402	30	0
V402	9.1	1.1
V402	0	0
V402	6.8	0
V402	5.9	0
V402	11.4	0
V402	37.5	35
V402	0	0.9
V402	0	0
V402	11.1	0
V402	34.9	34.8
V402	0	6.8
V402	6.8	0
V402	7.1	0
V402	8.2	0
V402	0	0.5
V402	1	0
V402	1.1	0
V402	12.9	0
V402	0	6.2
V402	5.2	0
V402	6.1	0.6
V402	0	0
V402	0	0
V402	0	0.7
V402	0	38.2
V402	0	35
V402	1.1	0
V402	13.3	0
V402	0	0
V402	8.7	0
V402	0	41.9
V402	0	0
V402	0	0
V402	8.7	0
V402	1.2	0
V402	0.8	0
V402	0	0
V402	0	0
V402	0	0.9
V402	2.3	34.9
V402	4.1	0.4
V402	25.6	0
V402	0	0
V402	4	0
V402	0	0.4
V402	0	3
V402	0	0
V402	16.7	0
V402	0	0
V402	40	37.2
V402	0	0
V402	3.2	0
V402	8.3	0
V402	10	0
V402	0	6.6
V402	2.2	0
V402	8.2	0
V402	5.3	0
V402	8.3	0
V402	0	0
V402	0	0
V402	0	0
V402	1.4	0
V402	13.2	0
V402	10.4	1.1
V402	0	0
V402	0	0
V402	8.9	0
V402	30	39.1
V402	20	0
V402	12.9	0
V402	33.9	38.8
V402	37	37.2
V402	0	0
V402	0	0
V402	0	1.1
V402	7.2	0
V402	14.3	0
V402	1.1	0
V402	0	0
V402	0	0
V402	11.5	0
V402	0.8	37
V402	0	0
V402	0	0
V402	0	8.9
V402	0	1.2
V402	0	1.9
V402	0	0.9
V402	7.8	0
V402	0	0
V402	0	0
V402	0	0
V402	0	43
V402	39.5	47.4
V402	0	28.6
V402	5.5	0.4
V402	0	0
V402	3.5	0
V402	57.6	0
V402	4.7	0
V402	6.5	0.8
V402	7.9	0
V402	6.6	1
V402	56	59.2
V402	22.4	21.7
V402	23.2	31.2
V402	16.7	28
V402	32.4	31.2
V402	8.5	0
V402	0	0.9
V402	4.5	0
V402	0	2.4
V402	0	0
V402	6.6	0
V402	0	10
V402	7.9	0
V402	9.1	0
V402	10.3	0
V402	8.6	0
V402	0	0
V402	0	0
V402	0	1.7
V402	0	0
V402	2.8	0
V402	12.3	0
V402	0	0
V402	11.4	0
V402	8.3	0
V402	8.5	0
V402	5.9	0
V402	0	0
V402	0.7	0
V402	3.5	0
V402	18.2	1.7
V402	0	0
V402	0	0
V402	12.9	0
V402	8.2	0
V402	1.8	0
V402	2.2	0
V402	31.3	48.3
V402	9.1	0
V402	0	0
V402	1.9	0
V402	0	1.3
V402	0	0
V402	0	0
V402	6.1	1.2
V402	0	0
V402	3.5	0
V402	0	0
V402	1.8	0
V402	6.2	0
V402	6.7	0
V402	8	0
V402	0	2.7
V402	0	0
V402	0	0.6
V402	5	0
V402	0	0
V402	0	1.2
V402	0	0
V402	0	0
V402	6.1	0.4
V402	2.2	0
V402	8	0
V402	3.1	1.6
V402	28.4	31.5
V402	0	0
V402	0	0
V402	0.6	0.7
V402	6	0
V402	6.8	0
V402	0	1.1
V402	4.2	0
V402	0	0.8
V402	12.1	2.4
V402	0	0
V402	0	0
V402	0	0
V402	0	0
V402	0	0
V402	8.3	2.2
V402	0	0
V402	1.1	0
V402	0	0
V402	8.2	0
V402	0	0
V402	0	82.1
V402	6.7	0
V402	5.8	0
V402	0	0.8
V402	9.1	0
V402	0	0
V402	0	1.8
V402	0	2.1
V402	11.1	0
V402	0	27.8
V402	0	0.5
V402	7.1	0
V402	0	0
V402	0.9	0
V402	40	28
V402	8.7	0.9
V402	0.5	0
V402	6.2	0.8
V402	5.6	0.4
V402	0	0
V402	34.8	35.1
V402	0	0
V402	0.8	0
V402	0	0
V402	0	0
V402	0	0.8
V402	0	0
V402	10.9	0
V402	0	0
V402	44	47.2
V402	25.7	25.5
V402	0	1.1
V402	0	75.8
V402	0	0
V402	6	0
V402	0	9.1
V402	0	1.4
V402	0	41.3
V402	0	2.3
V402	0	1.4
V402	1.2	0.4
V402	0	0
V402	0	0
V402	0	0
V402	0	0
V402	10.8	0
V402	9.1	0
V402	4.3	0
V402	0	0
V402	0	0
V402	0	8.7
V402	0	2
V402	0	6.3
V402	13.3	0
V402	0	0
V402	14.6	0
V402	31.2	0
V402	8.2	0
V402	31	40.4
V402	2.2	0
V402	5.9	0.4
V402	0	0
V402	2.6	0
V402	0	0
V402	9.1	0
V402	3.8	0
V402	0	0
V402	7	0
V402	0	5
V402	1.1	0
V402	8.9	0
V402	0	0.8
V402	0	0
V402	0	0
V402	7.6	0.4
V402	0	0
V402	2.2	0
V402	6.7	0
V402	0.6	0
V402	5.3	0
V402	6.8	0
V402	10.8	0
V402	27.3	44.3
V402	0	0.5
V402	0	7.8
V402	10.5	0
V402	2.2	0
V402	7.4	0
V402	0.7	0
V402	0	0
V402	0	0
V402	1.1	48.9
V402	0	1
V402	0	0.7
V402	8	0
V402	6	0
V402	16.7	69
V402	0	0
V402	21.5	70.4
V402	23.5	56.4
V402	0	0
V402	0	0
V402	3.7	0.2
V402	0	12.9
V402	8.8	0
V402	0	33.3
V402	0	1.2
V402	5.7	0.6
V402	0	2.3
V402	0	0
V402	6.3	0
V402	31.8	57.6
V402	0.9	0
V402	0	0
V402	0.9	0
V402	0	0
V402	0	3.6
V402	1.7	0
V402	0	0
V402	30.8	31
V402	12.5	0
V402	5.2	0
V402	0	0
V402	0	0
V402	3.1	0
V402	25.5	53
V402	1.4	1.4
V402	0	2.2
V402	0	0.7
V402	0	0.3
V402	1.5	0
V402	0	0.4
V402	0	0.9
V402	0	0
V402	43.5	60.6
V402	0	0.9
V402	14.3	36.4
V402	0	0
V402	0	0.6
V402	22.2	0
V402	0	0.3
V402	0	0.3
V402	0	0
V402	0	0
V402	0	0.6
V402	0	0.7
V402	0	1.2
V402	0	1
V402	0	0
V402	45.8	65
V402	31.2	26
V402	0	0.9
V402	19.5	32
V402	2	0
V402	0	0.3
V402	0	0
V402	0	0.6
V402	0	0
V402	1.9	0
V402	0	0
V402	0	0
V402	3	0.4
V402	23.1	21.6
V514	0	0
V514	20	0
V514	6.1	0
V514	0	0
V514	0	12.5
V514	0	27.4
V514	0	0
V514	0	33.3
V514	23.3	27.5
V514	0	0
V514	0	35.6
V514	12	47.9
V514	0	0
V514	1.6	0
V514	13.3	43.9
V514	0.9	0
V514	6.8	0
V514	7.4	0
V514	12.3	38.9
V514	0	12.9
V514	12.2	40.3
V514	0	9.7
V514	2.6	40
V514	12	0
V514	0	0
V514	8	0
V514	25	46.7
V514	0	30.3
V514	0	0
V514	7.1	0
V514	6.2	45.3
V514	0	0
V514	0	0
V514	12.6	0
V514	0	0
V514	0	0
V514	8.1	0
V514	0	26.5
V514	7.8	21.9
V514	14.2	27.6
V514	0	0
V514	0	31.6
V514	7.4	31.1
V514	8.1	23.9
V514	0	8.5
V514	0	8.3
V514	18.1	60
V514	0	0
V514	11.3	21.3
V514	2.3	0
V514	0	0
V514	28.4	82.8
V514	0	6.8
V514	7.4	35.2
V514	0	36.1
V514	0	0
V514	0	2.1
V514	15.3	81.1
V514	22.6	83.8
V514	5.5	0
V514	0	0
V514	0	0
V514	20.3	78.8
V514	9.3	0
V514	0	36.4
V514	19.4	66.7
V514	9.6	37.8
V514	8.8	37.1
V514	0	6.2
V514	4.2	0
V514	0	0
V514	0	0
V514	12.7	37.8
V514	11	32.8
V514	5.6	0
V514	9.8	44.7
V514	0	45.2
V514	0	0
V514	10.8	33.3
V514	6.2	23.5
V514	17.3	32.8
V514	4.2	23.4
V514	0	4.1
V514	1.3	1.3
V514	8.6	74.2
V514	5.6	0.8
V514	0	45.9
V514	0	33.3
V514	12.8	75.7
V514	0	0
V514	0	0
V514	3.7	0
V514	6.9	0
V514	0	0
V514	26.1	78.9
V514	1.9	0
V514	11.8	0
V514	0	9.7
V514	14.3	96
V514	10.4	0
V514	0	0
V514	0	29.2
V514	0	0
V514	9.3	0
V514	8.1	0
V514	19.5	90.7
V514	8.4	78.3
V514	0	85.4
V514	7.5	19.1
V514	0	30.2
V514	15.7	48.9
V514	0	4.1
V514	0	4.2
V514	0	0
V514	7.5	38.2
V514	0	0
V514	0	0
V514	16.9	80
V514	11.9	84.7
V514	0	0
V514	0	0
V514	6.5	0
V514	0	0
V514	0	0
V514	0	0
V514	0	0
V514	0	0
V514	2.3	0
V514	7.8	18.8
V514	0	16.7
V514	0	0
V514	20	47.4
V514	0	0
V514	0.9	0
V514	14.6	38.2
V514	1	1.1
V514	4.7	0
V514	18.8	34.1
V514	0	0
V514	15.4	36
V514	1.9	10.5
V514	15.6	0
V514	12.5	0
V514	8.6	35.5
V514	11.1	82.9
V514	0	0
V514	7.4	0
V514	0	0
V514	0	36.7
V514	0	0
V514	0	0
V514	0	0
V514	21.8	79.2
V514	21	81.5
V514	0	0
V514	0	0
V514	0	0
V514	24.2	80.5
V514	0	33.3
V514	0	17.9
V514	0	0
V514	9.5	0
V514	0	0
V514	0	0
V514	0	0
V514	19.5	83.8
V514	0	29
V514	0	0
V514	0	39
V514	14	76.9
V514	0	41.2
V514	0	0
V514	0	0
V514	1.2	7
V514	0	0
V514	0	0
V514	0	0
V514	10.5	24.4
V514	0	0
V514	0	31.8
V514	16.7	58.3
V514	17.6	0
V514	0	0
V514	17.2	55.8
V514	0	29.1
V514	5	12.5
V514	18.3	67.5
V514	0	0
V514	0	44.2
V514	16.1	66.7
V514	24.4	73.8
V514	0	44.9
V514	8.1	34.1
V514	8.3	0
V514	5.1	0
V514	0	9.4
V514	0	0
V514	0	0
V514	0	1.9
V514	14.8	52.7
V514	10	40.5
V514	14	0
V514	0	3.8
V514	5.1	27
V514	4.7	36.9
V514	16.4	44.8
V514	8.3	29.2
V514	0	0
V514	0	24.1
V514	0	2.6
V514	26.7	65.4
V514	24.3	78.6
V514	7.1	50
V514	13.5	21.7
V514	0	0
V514	0	0
V514	21.7	63.6
V514	0	0
V514	17.2	81.5
V514	16.2	100
V514	27.5	82.2
V514	19.8	75
V514	21.8	75.9
V514	15	88.9
V514	8	0
V514	0	0
V514	5.5	0
V514	0	0
V514	1.6	0
V514	0	0
V514	26.9	68.3
V514	0	0
V514	13.2	0
V514	0	0
V514	22.4	77.1
V514	31.1	79.6
V514	19.5	72.4
V514	7.5	75
V514	0	0
V514	1.3	5.3
V514	0.6	1
V514	18.8	82.2
V514	10.7	0
V514	9.5	0
V514	9.2	66.1
V514	23.8	73.8
V514	0	1.5
V514	0	5
V514	0	13
V514	1.6	0
V514	5	75
V514	0	9.7
V514	21.5	0
V514	0	0
V514	3.7	26.7
V514	0	0
V514	39.1	50.8
V514	9.4	84.1
V514	1.2	0
V514	12.2	0
V514	0	0
V514	0	0
V514	0	0
V514	0	0
V514	0	0
V514	0	0
V514	0	0
V514	14.8	0
V514	23.2	81.8
V514	0	43.6
V514	35.2	89.9
V514	0	0
V514	0	0
V514	0	0
V559	0	0
V559	0	65
V559	0	31.2
V559	31.1	64.1
V559	0	0
V559	0	16
V559	0	1.2
V559	0	62.5
V559	8.7	0
V559	1.2	0
V559	0	0
V559	0	0
V559	0	13.3
V559	0	13.3
V559	0	0
V559	0	0
V559	58.1	0
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	4
V559	0.8	0.4
V559	0	4.4
V559	0	39.6
V559	0	2.6
V559	4.8	0
V559	0	0
V559	26.6	28.3
V559	0.9	0
V559	1.4	0
V559	0	2
V559	2.8	7.4
V559	24.4	30.2
V559	27.1	21.6
V559	0	10.3
V559	0.8	6
V559	0	0
V559	0	0
V559	0	4
V559	0	0
V559	5.4	32.9
V559	28.9	33.3
V559	25	28
V559	0.7	0
V559	0	10
V559	0.5	6.8
V559	4.3	20
V559	0	5.4
V559	0	0
V559	25.6	0
V559	0.7	5.2
V559	0	5.7
V559	30	34.4
V559	0	0
V559	0	0
V559	0	0
V559	18.2	32.3
V559	0	0.8
V559	0	0
V559	0	3.5
V559	0	0
V559	37.3	45.2
V559	25	43.7
V559	0.7	1.9
V559	0	0
V559	7.3	0
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	18.2
V559	37.5	0
V559	8.3	0
V559	0	0
V559	0	4.7
V559	0	0
V559	0	0
V559	30.4	32.8
V559	1.3	2
V559	0	6.6
V559	5	16.2
V559	29.9	0
V559	0	3.3
V559	0	52.2
V559	0	0
V559	9.1	0
V559	0	0
V559	0	47.7
V559	0	46.5
V559	18.9	32.3
V559	5.8	0
V559	0	0
V559	0	0
V559	24	0
V559	30.6	0
V559	0	0
V559	0	0
V559	0	4
V559	0.5	10.1
V559	1.7	0
V559	2.4	1.8
V559	0	0
V559	0	5.2
V559	0	5.7
V559	4.9	0
V559	0	9
V559	0	0
V559	28.6	63.2
V559	0	0
V559	5.1	39
V559	1.9	3.6
V559	36.2	41.1
V559	0	0
V559	0	0
V559	29.8	25.4
V559	32	29.6
V559	21.8	1
V559	40.5	37.3
V559	0	40.5
V559	0	0
V559	0	5
V559	0	5
V559	1	5.6
V559	0	4.8
V559	0	18.2
V559	0.5	4.7
V559	51.7	55.8
V559	73.4	68.7
V559	0	0
V559	30	31
V559	0.5	5.3
V559	0	5.3
V559	1.1	0
V559	0	0
V559	0.6	1
V559	0	0
V559	0	3.8
V559	0.1	4.4
V559	0	1.3
V559	32.4	42.9
V559	37.1	35.1
V559	0	29.2
V559	0	0
V559	1.2	1.9
V559	0	0
V559	0	5
V559	36.1	22
V559	0.5	5.4
V559	0	5
V559	0	0
V559	0	0
V559	1.3	4.7
V559	41.2	13
V559	0	33.9
V559	0	31.5
V559	8.7	2.1
V559	0	2.1
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	13.8
V559	0	7.6
V559	41.7	30.2
V559	2.3	36.6
V559	0	3.9
V559	35.4	29.1
V559	0	6.2
V559	0	0
V559	0.7	0
V559	0	0
V559	0	0
V559	0	5.6
V559	0	0
V559	0	25
V559	0	0
V559	0	5.6
V559	0	0
V559	0	28.6
V559	0	11.1
V559	27.5	16.7
V559	6.1	2.9
V559	0	0
V559	0	38.2
V559	0	6.2
V559	30.2	33.3
V559	67.1	37.7
V559	0	2.1
V559	0	0
V559	4.9	0
V559	0	8.3
V559	47.9	41.2
V559	48	40.5
V559	0.6	0
V559	7.7	2.6
V559	6.2	33.1
V559	0	0
V559	0	0
V559	0	0
V559	0	7.8
V559	5.4	0
V559	0	0
V559	0	5.3
V559	0	6.1
V559	0	0
V559	4.1	0.7
V559	3.6	19.8
V559	0	0
V559	0	47.6
V559	0	0
V559	0	20
V559	0	0
V559	0	0
V559	0	0
V559	0	5.2
V559	0	2
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	16.7
V559	0	0
V559	0	0
V559	8.2	1.2
V559	0	4.8
V559	0	80.8
V559	40.2	75.3
V559	4.2	0
V559	2	6.1
V559	0	5.5
V559	0	5.8
V559	0	1.4
V559	12	8.5
V559	0	3.4
V559	3.1	0
V559	0.6	0.1
V559	5.3	0
V559	21	0
V559	0	2.8
V559	0	53.7
V559	0	0
V559	0	6.4
V559	35.5	38.1
V559	21.3	0
V559	0	4.9
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	16	0
V559	19.5	0
V559	18.7	0.2
V559	0	5.1
V559	30	84.5
V559	18.8	0
V559	0	5.1
V559	0	16.7
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	6.4
V559	0	5.7
V559	0	6.3
V559	0	0
V559	0	0
V559	0	0
V559	0	0
V559	0	11.1
V559	0	0
V559	33.8	0
V559	0	0
V559	8.2	0
V559	5.9	0
V559	0	6.2
V559	0	4.5
V559	0	0
V559	0	0
V559	22.9	26.4
V559	0	14.8
V559	0	4.7
V559	31.6	55.2
V559	2.7	0
V559	0	54.2
V559	0	0
V559	26.9	37.9
V559	0.3	4.9
V559	29.9	39.7
V559	0	3.2
V559	0	0
V559	23.3	18
V559	23	26.5
V559	0	0
V559	0	9.3
V559	0	4.3
V559	0	10.5
V559	30.7	0
V559	32.5	45.2
V559	33.8	30.5
V559	0	20
V559	0	7
V559	0	15.7
V559	0	0
V559	0	0
V559	0.9	5.8
V559	0	0
V559	0	0
V559	0	0
V559	36	51.6
V559	0	0
V559	0	1.1
V559	0.6	0
V559	0	0
V559	23.5	0
V559	17.3	0
V559	0.9	30.6
V559	0	6
V559	0	42.4
V559	0	33.3
V559	0	31
V559	1	5.3
V559	37.1	34.8
V559	0	4.7
V559	20	18.4
V559	0.8	0
V559	51.5	56.5
V559	0	7
V559	0	0
V559	0	0
V559	0	0
V559	0	57.1
V559	0	0
V559	0	0
V559	1.3	10.8
V559	2.3	1.6
V559	34.3	0
V559	4.7	0
V559	1.1	1.1
V559	8	9.5
V559	25.8	14.1
V559	2.9	0
V559	0	0
V559	0	0
V559	5.2	0
V559	0	39.3
V559	0	35.8
V559	43.9	47.4
V559	2.2	0
V559	8.7	11.8
V559	0	22.3
V559	10	5
V559	0	47.1
V559	0	24.4
V559	5.4	14
V559	30.9	0
V559	0	6.7
V559	32.9	0
